Time [s],Voltage [V],Current [A],Cell Temperature [K],Separator Temperature [K]
165.0,4.052409485673444,2.0,298.15,298.15
166.0,4.052281880444479,2.0,298.15,298.15
167.0,4.052155267758013,2.0,298.15,298.15
168.0,4.052029639172564,2.0,298.15,298.15
169.0,4.051904986353282,2.0,298.15,298.15
170.0,4.05178130106976,2.0,298.15,298.15
171.0,4.0516585751938194,2.0,298.15,298.15
172.0,4.051536800697449,2.0,298.15,298.15
173.0,4.051415969650713,2.0,298.15,298.15
174.0,4.051296074219822,2.0,298.15,298.15
175.0,4.051177106665171,2.0,298.15,298.15
176.0,4.051059059339375,2.0,298.15,298.15
177.0,4.050941924685537,2.0,298.15,298.15
178.0,4.050825695235401,2.0,298.15,298.15
179.0,4.050710363607622,2.0,298.15,298.15
180.0,4.050595922506057,2.0,298.15,298.15
181.0,4.050482364782395,2.0,298.15,298.15
182.0,4.05036968323806,2.0,298.15,298.15
183.0,4.050257870822981,2.0,298.15,298.15
184.0,4.0501469205658145,2.0,298.15,298.15
185.0,4.050036825572635,2.0,298.15,298.15
186.0,4.049927579006187,2.0,298.15,298.15
187.0,4.049819174117365,2.0,298.15,298.15
188.0,4.049711604236608,2.0,298.15,298.15
189.0,4.049604862766044,2.0,298.15,298.15
190.0,4.049498943178171,2.0,298.15,298.15
191.0,4.049393839014591,2.0,298.15,298.15
192.0,4.0492895438847505,2.0,298.15,298.15
193.0,4.049186051464669,2.0,298.15,298.15
194.0,4.049083355495827,2.0,298.15,298.15
195.0,4.048981449783938,2.0,298.15,298.15
196.0,4.0488803281978205,2.0,298.15,298.15
197.0,4.048779984668285,2.0,298.15,298.15
198.0,4.048680413187109,2.0,298.15,298.15
199.0,4.048581607805876,2.0,298.15,298.15
200.0,4.048483562635038,2.0,298.15,298.15
201.0,4.048386271842791,2.0,298.15,298.15
202.0,4.0482897296541935,2.0,298.15,298.15
203.0,4.048193930350186,2.0,298.15,298.15
204.0,4.048098868266582,2.0,298.15,298.15
205.0,4.048004537793186,2.0,298.15,298.15
206.0,4.047910933372939,2.0,298.15,298.15
207.0,4.047818049500909,2.0,298.15,298.15
208.0,4.047725880723622,2.0,298.15,298.15
209.0,4.047634421638016,2.0,298.15,298.15
210.0,4.047543666890752,2.0,298.15,298.15
211.0,4.0474536111773975,2.0,298.15,298.15
212.0,4.047364249241558,2.0,298.15,298.15
213.0,4.04727557587418,2.0,298.15,298.15
214.0,4.047187585912826,2.0,298.15,298.15
215.0,4.047100274240815,2.0,298.15,298.15
216.0,4.047013635786634,2.0,298.15,298.15
217.0,4.046927665523166,2.0,298.15,298.15
218.0,4.0468423584669715,2.0,298.15,298.15
219.0,4.046757709677709,2.0,298.15,298.15
220.0,4.046673714257368,2.0,298.15,298.15
221.0,4.046590367349695,2.0,298.15,298.15
222.0,4.046507664139552,2.0,298.15,298.15
223.0,4.046425599852209,2.0,298.15,298.15
224.0,4.046344169752884,2.0,298.15,298.15
225.0,4.046263369146025,2.0,298.15,298.15
226.0,4.046183193374788,2.0,298.15,298.15
227.0,4.046103637820448,2.0,298.15,298.15
228.0,4.046024697901842,2.0,298.15,298.15
